,Node,23/24,24/25,25/26,26/27,27/28,28/29,29/30,30/31,region,bus_name,bus_id
149,EKIL2S,7,2,2,2,2,2,2,3,,,
150,EKIL2T,499,515,599,604,610,618,632,662,,,
151,EKIS20,16,16,17,17,18,19,21,22,,,
152,ELDE1Q,34,69,70,70,71,72,73,74,,,
153,ELDE1R,8,8,8,9,9,10,10,10,,,
154,ELGI1Q,45,51,57,106,113,119,126,133,,,
155,ELGI1R,131,132,135,139,143,146,150,158,,,
156,ELLA20,17,20,24,48,52,56,60,64,nget,ELLAND 132kV,627
157,ELST20,10,10,10,10,10,10,10,10,nget,ELSTREE 132kV,604
158,ELVA2Q,38,42,87,92,97,103,108,114,,,
159,ELVA2R,57,57,59,60,60,62,63,64,,,
160,ENDE40,0,-3,-10,-10,-10,-10,-10,-10,nget,ENDERBY 132kV,573
161,ERSK1Q,34,69,70,70,71,72,73,74,,,
162,ERSK1R,8,8,8,9,9,10,10,10,,,
163,EXET40,13,18,22,27,32,37,42,47,nget,EXETER MAIN 132kV,690
164,FASN20,162,162,167,186,186,261,261,266,,,
165,FAUG10,13,13,13,13,13,13,14,14,,,
166,FAWL40,178,194,200,207,216,224,232,242,nget,FAWLEY 132kV,725
167,FECK20,45,72,74,76,78,80,82,85,nget,FECKENHAM 66kV,791
168,FECK40,252,281,288,293,302,308,322,342,nget,FECKENHAM 66kV,791
169,FERR20_YED,27,27,28,29,30,31,33,35,nget,FERRYBRIDGE 66kV,793
170,FERR2A_YED,16,17,17,17,18,18,19,19,nget,FERRYBRIDGE 275kV,375
171,FERR2B_YED,128,130,127,125,121,123,131,140,nget,FERRYBRIDGE 275kV,383
172,FETT20,29,29,34,53,53,128,128,133,,,
173,FIDD10,137,142,142,143,143,143,143,143,,,
174,FIDF20_SPM,38,23,18,24,20,21,12,13,nget,FIDDLERS FERRY 132kV,687
175,FLEE40,13,13,13,13,14,15,15,16,nget,FLEET 132kV,609
176,FOUR20,28,34,36,60,61,62,64,65,nget,FOURSTONES 33kV,826
177,FRAS1Q,110,114,121,143,165,187,207,228,,,
178,FRAS1R,164,168,176,185,195,206,217,229,,,
179,FROD2A,97,99,102,105,108,111,115,121,nget,FRODSHAM 132kV,783
180,FROD2B,38,23,18,24,20,21,12,13,nget,FRODSHAM 132kV,783
181,FROD40,372,344,338,355,349,353,350,359,nget,FRODSHAM 132kV,783
182,FWIL1Q,104,114,121,252,258,264,269,275,,,
183,FWIL1R,168,169,173,180,185,191,198,208,,,
184,GALA10,-3,8,10,5,9,11,22,25,,,
185,GIFF2Q,76,78,81,85,89,93,97,103,,,
186,GIFF2R,38,39,40,42,44,46,48,51,,,
187,GLFA10,13,13,13,13,13,13,14,14,,,
188,GLLE10,2,2,2,2,2,2,2,2,,,
189,GLLU1Q,0,0,8,8,8,8,8,8,,,
190,GLLU1R,15,16,16,16,17,17,18,18,,,
191,GLNI10,2,2,2,2,2,2,2,2,,,
192,GLRO20,182,185,194,201,209,219,226,234,,,
193,GORG1Q,40,40,41,41,41,41,42,42,,,
194,GORG1R,15,16,16,16,17,17,18,18,,,
195,GOVA1Q,211,213,219,226,234,245,252,262,,,
196,GOVA1R,9,9,9,9,9,9,10,10,,,
197,GREN40_EME,15,15,16,17,18,19,21,22,nget,GRENDON 132kV,678
198,GREN40_EPN,17,20,23,26,29,33,36,40,nget,GRENDON 132kV,678
199,GRIW40,11,11,37,37,38,39,39,40,nget,GRIMSBY WEST 132kV,638
200,GRMO20,133,191,193,149,153,160,207,212,,,
201,GRUB1Q,18,18,19,20,20,21,22,23,,,
202,GRUB1R,0,0,0,0,0,0,0,0,,,
203,HACK2A,21,21,21,22,23,24,24,25,nget,HACKNEY 275kV,423
204,HACK2B,22,24,26,28,30,31,33,35,nget,HACKNEY 275kV,486
205,HACK40,141,144,148,154,160,182,204,210,nget,HACKNEY 66kV,810
206,HAGR1Q,179,180,182,186,190,194,198,207,,,
207,HAGR1R,9,9,9,9,9,9,10,10,,,
208,HAMH40_EME,15,15,16,17,18,19,21,22,nget,HAMSHALL 132kV,768
209,HARK20,126,128,131,136,141,146,151,157,nget,HARKER 132kV,672
210,HARK40,50,56,56,56,56,57,57,59,nget,HARKER 132kV,672
211,HARM20,7,2,2,3,3,3,3,4,nget,HARTMOOR 66kV,807
212,HAWI10,4,4,4,4,4,4,4,4,,,
213,HAWP20,7,2,2,3,3,3,3,4,nget,HAWTHORN PIT 66kV,795
214,HELE10,371,374,383,403,418,437,463,505,,,
215,HEYS40,0,0,0,0,0,0,0,0,nget,HEYSHAM 132kV,536
216,HUNF1Q,359,361,367,372,383,397,411,432,,,
217,HUNF1R,14,14,14,14,14,14,8,4,,,
218,HURS20,223,209,200,198,190,191,189,193,nget,HURST 132kV,655
219,HUTT40,11,10,10,11,16,17,17,18,nget,HUTTON 25kV,846
220,IMPP40,37,41,41,43,44,45,47,48,nget,IMPERIAL PARK 33kV,823
221,INDQ40,13,18,22,27,32,37,42,47,nget,INDIAN QUEENS 132kV,716
222,INKE1Q,6,5,5,5,2,3,3,3,,,
223,INKE1R,14,14,14,14,14,14,8,4,,,
224,INNE1Q,182,185,194,201,209,219,226,234,,,
225,INNE1R,0,0,0,0,0,0,0,0,,,
226,INWI1Q,24,24,24,24,24,24,24,25,,,
227,INWI1R,285,296,320,354,343,368,382,396,,,
228,IROA20_WPDWM,47,48,49,49,50,50,52,54,nget,IRON ACTON 132kV,735
229,IRON40,98,97,97,97,98,99,101,105,nget,IRON BRIDGE 132kV,689
230,IVER20,51,52,53,54,57,60,64,67,nget,IVER 66kV,808
231,JOHN1Q,6,5,5,5,2,3,3,3,,,
232,JOHN1R,160,162,164,166,168,172,177,187,,,
233,JORD20,11,11,37,37,38,39,39,40,nget,JORDANTHORPE 33kV,842
234,KAIM20,18,24,51,57,64,71,78,85,,,
235,KEAD40,22,22,19,20,21,22,24,25,nget,KEADBY 132kV,714
236,KEAR20,19,19,20,20,21,22,23,23,nget,KEARSLEY 33kV,834
237,KEIT10,0,0,0,0,0,0,0,0,,,
238,KEMS40,30,29,29,29,30,30,30,31,nget,KEMSLEY 132kV,670
239,KENG40,176,161,166,175,185,196,206,218,nget,KENSAL GREEN 400kV,78
240,KEOO10,18,24,51,57,64,71,78,85,,,
241,KIBY20,18,17,10,4,2,4,6,4,nget,KIRKBY 132kV,538
242,KIER1Q,-11,-11,-11,-11,-11,-11,-11,-11,,,
243,KIER1R,30,31,32,33,34,35,35,36,,,
244,KIIN10,28,29,30,31,39,91,92,95,,,
245,KILB1Q,1,1,1,1,1,1,1,1,,,
246,KILB1R,155,159,161,164,167,173,179,202,,,
