Project Name,Customer Name,Connection Site,Stage,MW Connected,MW Increase / Decrease,Cumulative Total Capacity (MW),MW Effective From,Project Status,Agreement Type,HOST TO,Plant Type,Project ID,Project No
Corriemoillie BESS,VIRMATI ENERGY LTD,Corriemoillie 132kV Substation,,0,200,200,2029-09-30,Scoping,Directly Connected,SHET,Energy Storage System,a0l8e000000f6u6,PRO-003992
Corriemoillie Wind Farm,CORRIEMOILLIE WINDFARM LIMITED,Corriemoillie 132/33kV Substation,,47.5,0,47.5,,Built,Directly Connected,SHET,Wind Onshore,a0l4L0000005inI,PRO-000102
Corrievarkie PSH,ILI (Trossachs PSH) Ltd,Corrievarkie 275kV Substation,,0,600,600,2031-10-31,Scoping,Directly Connected,SHET,Pump Storage,a0l4L0000005iwZ,PRO-002291
Corshellach Battery Energy Storage System,Renewable Energy Systems Limited,Berry Burn GSP,,0,49.9,49.9,2031-10-31,Scoping,Embedded,SHET,Energy Storage System,a0l4L0000005iXz,PRO-002328
Coryton,CORYTON ENERGY COMPANY LTD,Coryton South 400kV Substation,,800,0,800,,Built,Directly Connected,NGET,CCGT (Combined Cycle Gas Turbine),a0l4L0000005inJ,PRO-000103
Coryton,ORRÖN ENERGY DEVELOPMENT LIMITED,Coryton South 400kV Substation,,0,1000,1000,2031-10-31,Scoping,Directly Connected,NGET,Demand; PV Array (Photo Voltaic/solar),a0l8e000000TPQl,PRO-003407
Costa Head Wind Farm,COSTA HEAD WIND FARM LIMITED,Costa Head 132/33kV Substation,,0,20.4,20.4,2028-10-30,Consents Approved,Directly Connected,SHET,Wind Onshore,a0l4L0000005inK,PRO-000104
Cottam,GATE BURTON ENERGY PARK LIMITED,Cottam 400kV Substation,1,0,250,250,2029-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iel,PRO-001502-1
Cottam,GATE BURTON ENERGY PARK LIMITED,Cottam 400kV Substation,2,0,250,500,2030-07-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iel,PRO-001502-2
Cottam PV & BESS Sub,O&G Solar (SPV 37) Limited,Cottam 400kV Substation,,0,500,500,2033-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L000002yQWp,PRO-002543
Cottam Solar PV + BESS,COTTAM SOLAR PROJECT LIMITED,Cottam 400kV Substation,,0,600,600,2029-09-01,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iz0,PRO-001401
Cottered,SSE UTILITY SOLUTIONS LIMITED,Cottered 400kV Substation,,0,600,600,2030-10-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ivh,PRO-002173
Coupar Angus Battery,COUPAR LIMITED,Coupar Angus GSP,,0,40,40,2022-02-21,Consents Approved,Embedded,SHET,Energy Storage System,a0l4L0000005iPx,PRO-000905
Coupar Solar Farm,COUPAR TWO LIMITED,Coupar Angus GSP,,0,49.9,49.9,2025-10-31,Scoping,Embedded,SHET,PV Array (Photo Voltaic/solar),a0l4L0000005iPS,PRO-001862
Cour Wind Farm,COUR WIND FARM (SCOTLAND ) LIMITED,Crossaig 132kV Substation,,20.5,0,20.5,,Built,Directly Connected,SHET,Wind Onshore,a0l4L0000005inf,PRO-000106
Coventry,PIVOTED POWER LLP,Coventry 275kV Substation,,49.9,0,49.9,,Built,Directly Connected,NGET,Energy Storage System,a0l4L0000005iad,PRO-001005
Cowes,RWE GENERATION UK PLC,Fawley 400kV Substation,,140,0,140,,Built,Embedded,NGET,OCGT (Open Cycle Gas Turbine),a0l4L0000005iVH,PRO-000107
Cowley,PIVOTED POWER LLP,Cowley 400kV Substation,,49.9,0,49.9,,Built,Directly Connected,NGET,Energy Storage System,a0l4L0000005ibM,PRO-001015
Cowley (Tertiary),COWLEY BALDON GREEN LIMITED,Cowley 400kV Substation,1,0,49.9,49.9,2022-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ixT,PRO-000407-1
Cowley (Tertiary),COWLEY BALDON GREEN LIMITED,Cowley 400kV Substation,2,0,7.1,57,2023-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ixT,PRO-000407-2
Cowley Energy Storage,Penso Power Limited,Cowley 400kV Substation,,0,200,200,2028-10-25,Awaiting Consents,Directly Connected,NGET,Energy Storage System,a0l4L0000005ic8,PRO-002066
Cowley Farm,COWLEY 2 RENEWABLES LTD,Cowley 400kV Substation,,0,200,200,2038-10-01,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e0000010wYT,PRO-002677
Cowley Farm 2,COWLEY 7 RENEWABLES LTD,Cowley 400kV Substation,,0,700,700,2038-11-20,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e0000010wdp,PRO-002738
Coylton 275kV Greener Grid Park,COYLTON ENERGY LIMITED,Coylton 275/33kV Substation,,0,150,150,2025-05-30,Scoping,Directly Connected,SPT,Energy Storage System,a0l4L0000005ihQ,PRO-001551
CPG Power,ESB ASSET DEVELOPMENT UK LIMITED,Carrington 400KV Substation,,0,49.9,49.9,2026-06-30,Scoping,Directly Connected,NGET,Gas Reciprocating,a0l4L0000005izZ,PRO-000542
Craig II Wind Farm,CRAIG WIND FARM LIMITED,Chapelcross 132/33kV Substation,,4.7,0,4.7,,Built,Embedded,SPT,Wind Onshore,a0l4L0000005iVI,PRO-000108
Craig Moss Farm,Greenswitch Capital Limited,Craig Moss Farm 132kV substation,,0,300,300,2036-10-31,Scoping,Directly Connected,SPT,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e0000011y2h,PRO-003498
Craig Nab Wind Energy Hub,Craig Nab Wind Energy Hub Limited,Glenluce 132/33kV Substation,,0,36,36,2028-06-30,Scoping,Embedded,SPT,Energy Storage System; Wind Onshore,a0l4L0000005iUe,PRO-002450
Craig Watch Wind Farm,Craig Watch Wind Farm Limited,Craig Watch Substation,,0,72.6,72.6,2027-06-30,Scoping,Directly Connected,SHET,Wind Onshore,a0l4L0000005iyh,PRO-001877
Creachan Wind Farm,RWE RENEWABLES UK ONSHORE WIND LIMITED,Creachan Wind Farm 132/33kV Substation,,0,79.2,79.2,2029-07-30,Scoping,Directly Connected,SHET,Wind Onshore,a0l8e000000f4yF,PRO-003906
Creag Riabhach Wind Farm,CREAG RIABHACH WIND FARM LTD,Creag Riabhach 132/33kV Substation,1,92.4,0,92.4,,Built,Directly Connected,SHET,Wind Onshore,a0l4L0000005ing,PRO-000109-1
Creag Riabhach Wind Farm,CREAG RIABHACH WIND FARM LTD,Creag Riabhach 132/33kV Substation,2,0,12.6,105,2027-07-31,Consents Approved,Directly Connected,SHET,Wind Onshore,a0l4L0000005ing,PRO-000109-2
CREYKE BECK,CLEAN AIR RENEWABLES LIMITED,Creyke Beck 400kV Substation,,0,500,500,2033-05-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iZ2,PRO-001972
Creyke Beck Battery 2,CREYKE BECK BATTERY 2 LIMITED,Creyke Beck 400kV Substation,,0,28.5,28.5,2034-10-30,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e000001Ho7S,PRO-004060
Creyke Beck PV & BESS Sub,O&G Solar (SPV 40) Limited,Creyke Beck 400kV Substation,,0,249.9,249.9,2035-05-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e0000010wY4,PRO-002672
Creyke Beck Solar Farm,JBM SOLAR PROJECTS 33 LIMITED,Creyke Beck GSP,,0,320,320,2033-05-31,Scoping,Embedded,NGET,PV Array (Photo Voltaic/solar),a0l4L0000005iTn,PRO-002062
Crossdykes,CROSSDYKES WF LIMITED,Crossdykes 33kV Substation,,46,0,46,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005inj,PRO-000112
Cruachan,DRAX PUMPED STORAGE LIMITED,Dalmally GSP,1,440,0,440,,Built,Directly Connected,SPT,Pump Storage,a0l4L0000005ink,PRO-000113-1
Cruachan,DRAX PUMPED STORAGE LIMITED,Dalmally GSP,2,0,40,480,2027-06-01,Scoping,Directly Connected,SPT,Pump Storage,a0l4L0000005ink,PRO-000113-2
Cruachan Expansion,Drax Cruachan Expansion Limited,Cruachan 275kV Substation,,0,600,600,2030-10-31,Scoping,Directly Connected,SPT,Pump Storage,a0l4L0000005iQW,PRO-001889
Cryogenic Battery System (Synchronous),CRYOBATTERY ONE LIMITED,Carrington 400KV Substation,,0,49.9,49.9,2024-10-31,Consents Approved,Directly Connected,NGET,Energy Storage System; Reactive Compensation,a0l4L0000005ipr,PRO-000549
Crystal Rig III Wind Farm,CRYSTAL RIG III LIMITED,Crystal Rig 400/132kV Substation,,13.8,0,13.8,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005ifV,PRO-001127
Crystal Rig II Wind Farm,CRYSTAL RIG II LIMITED,Crystal Rig 400/132kV Substation,,138,0,138,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005imM,PRO-000414
Crystal Rig IV Wind Farm,CRYSTAL RIG IV LIMITED,Crystal Rig 400/132kV Substation,,0,48.2,48.2,2024-06-30,Under Construction/Commissioning,Directly Connected,SPT,Wind Onshore,a0l4L0000005ipM,PRO-000520
CS14,FRED OLSEN SEAWIND LIMITED,Alverdiscott 400kV Substation,,0,1000,1000,2031-10-31,Scoping,Directly Connected,NGET,Wind Offshore,a0l8e0000011yr5,PRO-003548
CS4,FRED OLSEN SEAWIND LIMITED,Alverdiscott 400kV Substation,,0,1000,1000,2031-10-31,Scoping,Directly Connected,NGET,Wind Offshore,a0l4L0000005iuo,PRO-002239
Culham Storage,STATERA ENERGY LIMITED,Culham Jet 400kV Substation,,0,500,500,2027-10-29,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iwL,PRO-001946
Culligran (part of the Beauly Cascade),SSE GENERATION LIMITED,Culligran GSP,,19.1,0,19.1,,Built,Directly Connected,SHET,Hydro,a0l4L0000005imi,PRO-000074
Cumberhead,CUMBERHEAD WIND ENERGY LIMITED,Cumberhead West GSP,,50,0,50,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005inl,PRO-000114
Cumberhead West Wind Farm,CUMBERHEAD WEST WIND FARM LTD.,Cumberhead West GSP,,0,114,114,2024-11-01,Awaiting Consents,Directly Connected,SPT,Wind Onshore,a0l4L0000005ix7,PRO-000423
Cuxton 49.5MW BESS,Cuxton Energy Storage Limited,Kingsnorth 400kV Substation,,0,49.5,49.5,2023-05-31,Consents Approved,Embedded,NGET,Energy Storage System,a0l4L0000005iXw,PRO-002373
Cwm Dyli,RWE GENERATION UK PLC,Trawsfynydd 275kV Substation,,10,0,10,,Built,Embedded,NGET,Hydro,a0l4L0000005iVJ,PRO-000115
Cwm Rheidol,STATKRAFT ENERGY LTD.,Cwm Rheidol,,50,0,50,,Built,Embedded,NGET,Hydro,a0l4L0000005iVK,PRO-000116
Cygnus Offshore Windfarm,RENANTIS UK LIMITED,Cygnus 220/66kV Offshore Substation,,0,1000,1000,2033-10-31,Scoping,Directly Connected,SHET,Wind Offshore,a0l4L0000005izN,PRO-001530
Daer Wind Farm,RWE RENEWABLES UK ONSHORE WIND LIMITED,Daer Wind Farm Substation,,0,96,96,2027-07-14,Scoping,Directly Connected,SPT,Wind Onshore,a0l4L0000005iqV,PRO-000565
Daines BESS,O&G Solar (SPV 48) Limited,Daines 400kV Substation,,0,249.9,249.9,2037-11-30,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e0000010wSk,PRO-002614
Daines BESS,SSE UTILITY SOLUTIONS LIMITED,Daines 400kV Substation,,0,600,600,2029-11-01,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iby,PRO-002050
Daines Green Energy Centre,INNOVA RENEWABLES LIMITED,Daines 400kV Substation,,0,480,480,2028-10-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iRP,PRO-001902
Dalchork Farm,Greenswitch Capital Limited,Dalchork Substation 132 kV,,0,200,200,2032-10-31,Scoping,Directly Connected,SHET,Energy Storage System,a0l8e0000010wk2,PRO-002807
Dalmarnock Road BESS,DALMARNOCK BESS LTD,Dalmarnock GSP,,0,40,40,2023-10-30,Scoping,Embedded,SPT,Energy Storage System,a0l4L0000005idK,PRO-001660
Dalmarnock Storage BESS,DALMARNOCK STORAGE LTD,Dalmarnock 132 kV Substation,,0,42,42,2030-04-30,Scoping,Directly Connected,SPT,Energy Storage System,a0l8e000000exgs,PRO-003737
Dalquhandy Wind Farm,DALQUHANDY WIND FARM LIMITED,Dalquhandy 132/33kV Substation,,42,0,42,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005inm,PRO-000117
Dalswinton,DALSWINTON WINDFARM (SCOTLAND) LIMITED,Dumfries GSP,,30,0,30,,Built,Embedded,SPT,Wind Onshore,a0l4L0000005iVL,PRO-000118
Damhead Creek,VPI POWER LIMITED,Kingsnorth GSP,,812,0,812,,Built,Directly Connected,NGET,CCGT (Combined Cycle Gas Turbine),a0l4L0000005inn,PRO-000119
Damhead Creek 2,VPI POWER LIMITED,Kingsnorth 400kV Substation,,0,1800,1800,2025-08-31,Consents Approved,Directly Connected,NGET,CCGT (Combined Cycle Gas Turbine); Energy Storage System; OCGT (Open Cycle Gas Turbine),a0l4L0000005ieK,PRO-001056
Darnall Road,MERCIA POWER RESPONSE LIMITED,West Melton GSP,,0,40,40,2033-10-31,Scoping,Embedded,NGET,Energy Storage System,a0l8e000000evlR,PRO-003641
Daventry High Impact Green Energy Hub (HIGEH) 1,TELIS ENERGY UK LIMITED,New Patford Bridge 400kV Substation,,0,1000,1000,2033-10-31,Scoping,Directly Connected,NGET,Energy Storage System; Nuclear; PV Array (Photo Voltaic/solar); Wind Onshore,a0l8e000000ewvz,PRO-003686
Daviot Windfarm,PEEL CUBICO RENEWABLES LIMITED,Inverness GSP,,0,45,45,2031-03-31,Scoping,Directly Connected,SHET,Energy Storage System; Wind Onshore,a0l8e000001HoGb,PRO-004069
Dealanach WLC WF,DEALANACH LIMITED,Hopsrig Collector 132/33kV Substation,,0,12,12,2026-12-15,Scoping,Directly Connected,SPT,Wind Onshore,a0l4L0000005igL,PRO-001722
Deanie (part of the Beauly Cascade),SSE GENERATION LIMITED,Deanie GSP,,38,0,38,,Built,Directly Connected,SHET,Hydro,a0l4L0000005imj,PRO-000075
Deeside Power Station,DEESIDE POWER (UK) LIMITED,Deeside 400kV Substation,,1,189,190,2033-10-31,Built,Directly Connected,NGET,Energy Storage System; Reactive Compensation,a0l4L0000005ieE,PRO-001062
Dell Wind Farm,DELL WIND FARM LIMITED,Dell 132kV Substation,,0,49.8,49.8,2026-04-30,Consents Approved,Directly Connected,SHET,Wind Onshore,a0l4L0000005ibP,PRO-001012
Denton Estate Solar PV and BESS,ELGIN ENERGY ES CO LIMITED,Bicker Fen 400kV Substation,,0,129,129,2033-10-30,Scoping,Embedded,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e0000012gYu,PRO-004417
Dersalloch Wind Farm,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Dersalloch 132kV Substation,,69,11,80,2027-10-31,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005imE,PRO-000060
Derwent,UK UTILITY RESERVE LIMITED,Willington 132kV Substation,,0,162,162,2024-04-01,Built,Embedded,NGET,CHP (Combined Heat and Power),a0l4L0000005iVM,PRO-000120
Derwent Solar PV Array,ANESCO LIMITED,Thornton 400kV Substation,,0,160,160,2032-05-31,Scoping,Directly Connected,NGET,PV Array (Photo Voltaic/solar),a0l4L0000005iOs,PRO-001648
Devol Moor Battery & Solar Project,RELAY HOLDCO LIMITED,Devol Moor 400kV,,0,400,400,2029-10-17,Scoping,Directly Connected,SPT,Energy Storage System,a0l8e000001HoYo,PRO-004084
Devonside BESS,CARLTON POWER LIMITED,Devonside GSP,,0,49.5,49.5,2028-08-18,Scoping,Directly Connected,SPT,Energy Storage System,a0l4L0000005iaB,PRO-002015
Dewley Hill PV and BESS,Northumberland Estates Limited,Stella North 132kV Substation,,0,149.9,149.9,2036-10-31,Scoping,Embedded,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L000002yQaD,PRO-002558
Didcot A GTs,RWE GENERATION UK PLC,Didcot 400kV Substation,,100,0,100,,Built,Embedded,NGET,OCGT (Open Cycle Gas Turbine),a0l4L0000005iVN,PRO-000121
Didcot B,RWE GENERATION UK PLC,Didcot 400kV Substation,,1475,230,1705,2037-10-31,Built,Directly Connected,NGET,CCGT (Combined Cycle Gas Turbine),a0l4L0000005ino,PRO-000122
Didcot Battery,DIDCOT BATTERY LIMITED,Didcot 400kV Substation,,0,100,100,2025-10-31,Scoping,Directly Connected,NGET,Demand; Energy Storage System,a0l4L0000005idC,PRO-001468
Didcot Energy Park,RNA-ENERGY LTD,Didcot 400kV Substation,,0,300,300,2027-10-31,Awaiting Consents,Directly Connected,NGET,Energy Storage System,a0l4L0000005ivK,PRO-002382
Didcot Farm,APPLEFORD 2 RENEWABLES LTD,Didcot 400kV Substation,,0,200,200,2037-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e0000010wYx,PRO-002683
Didcot High Impact Green Energy Hub (HIGEH) 1,TELIS ENERGY UK LIMITED,Didcot 400kV Substation,,0,1000,1000,2037-10-31,Scoping,Directly Connected,NGET,Energy Storage System; Nuclear; PV Array (Photo Voltaic/solar); Reactive Compensation; Wind Onshore,a0l8e0000010wVo,PRO-002649
Didcot Road,ARLINGTON ENERGY (DEVELOPMENT) LIMITED,Didcot 400kV Substation,,0,300,300,2027-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iMP,PRO-002336
Dinorwig,FIRST HYDRO COMPANY,Dinorwig 400kV Substation,,1644,0,1644,,Built,Directly Connected,NGET,Pump Storage,a0l4L0000005im8,PRO-000054
Dogger Bank Project 4 (Dogger Bank B),DOGGERBANK OFFSHORE WIND FARM PROJECT 2 PROJCO LIMITED,Dogger Bank 220kV Offshores,,0,1200,1200,2024-04-01,Under Construction/Commissioning,Directly Connected,NGET,Wind Offshore,a0l4L0000005imQ,PRO-000410
Dogger Bank Project A,DOGGERBANK OFFSHORE WIND FARM PROJECT 1 PROJCO LIMITED,Dogger Bank 220kV Offshores,,0,1200,1200,2023-04-01,Under Construction/Commissioning,Directly Connected,NGET,Wind Offshore,a0l4L0000005imP,PRO-000411
Dogger Bank Project C,DOGGERBANK OFFSHORE WIND FARM PROJECT 3 PROJCO LIMITED,Lackenby GSP,,0,1200,1200,2025-04-01,Consents Approved,Directly Connected,NGET,Wind Offshore,a0l4L0000005imR,PRO-000409
Dog Trap Lane,HD381GRE Limited,Minety 400kV Substation,,0,47.5,47.5,2025-03-31,Awaiting Consents,Directly Connected,NGET,Energy Storage System,a0l4L0000005ixx,PRO-001626
Dolgarrog,RWE GENERATION UK PLC,Pentir GSP,,39,0,39,,Built,Embedded,NGET,Hydro,a0l4L0000005iVP,PRO-000123
Dollymans Storage,Dollymans Storage Limited,Rayleigh Main 132kV Substation,,0,99.8,99.8,2023-01-12,Scoping,Embedded,NGET,Energy Storage System,a0l4L0000005iXU,PRO-002261
Dolphingstone Farm,RNA-ENERGY LTD,Cockenzie GSP,,0,63,63,2025-04-30,Scoping,Embedded,SPT,Energy Storage System,a0l4L0000005iUd,PRO-002451
Dolyfardyn,Llyn Lort Energy Park Limited,Chirk GSP,,0,165,165,2027-02-04,Scoping,Embedded,NGET,Wind Onshore,a0l4L0000005iUL,PRO-001584
Don Cossack,Don Cossack Ltd,Tynemouth 275kV Substation,,0,70,70,2034-06-15,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e000000f4ne,PRO-003875
Dorenell Battery,CHRISTOPHER MORAN ENERGY LIMITED,Dorenell BESS 132KV substation,,0,37.5,37.5,2023-10-31,Scoping,Directly Connected,SHET,Wind Onshore,a0l4L0000005ilv,PRO-000427
Dorenell Windfarm,DORENELL WINDFARM LIMITED,Dorenell 132/33kV Substation,,177,0,177,,Built,Directly Connected,SHET,Wind Onshore,a0l4L0000005ipK,PRO-000522
Dorenell Windfarm Extension,DORENELL WINDFARM EXTENSION LIMITED,Blackhillock 400kV Substation,,0,610,610,2033-10-31,Scoping,Directly Connected,SHET,Wind Onshore,a0l4L0000005iuP,PRO-002415
Douglas West,DOUGLAS WEST WIND FARM LTD,Coalburn 132/33kV Substation,,45,0,45,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005inr,PRO-000128
Douglas West Extension,DOUGLAS WEST EXTENSION LTD,Douglas West Extension Windfarm,,0,60,60,2024-07-31,Consents Approved,Directly Connected,SPT,Wind Onshore,a0l4L0000005ixI,PRO-000422
Dowlais,VIRIDIS 178 LIMITED,Upperboat 132kV Substation,,21,0,21,,Built,Embedded,NGET,Thermal,a0l4L0000005iSy,PRO-000948
Downiebrae BESS,DOWNIEBRAE BESS LTD,Dalmarnock 132 kV Substation,,0,150,150,2028-04-30,Scoping,Directly Connected,SPT,Energy Storage System,a0l8e000000TPE0,PRO-003208
DRAGON GREEN BESS,SHAW-ENERGI LTD,Bolney 400kV Substation,,0,300,300,2037-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e000000TPHi,PRO-003237
Drakelow,ENSO GREEN HOLDINGS LIMITED,Drakelow 400kV Substation,,0,57,57,2024-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iwy,PRO-000428
Drakelow BESS,HARMONY ENERGY LIMITED,Drakelow 132kV,,0,200,200,2029-10-30,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005ib8,PRO-002033
Drakelow Green Energy Centre,DRAKELOW GREEN ENERGY LIMITED,Drakelow 400kV Substation,1,0,400,400,2026-10-30,Awaiting Consents,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ieq,PRO-001693-1
Drakelow Green Energy Centre,DRAKELOW GREEN ENERGY LIMITED,Drakelow 400kV Substation,2,0,625,1025,2029-10-30,Awaiting Consents,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ieq,PRO-001693-2
Drakelow Power Station 1 BESS,Bluestone Energy Ltd,Drakelow GSP,,0,240,240,2034-10-31,Scoping,Embedded,NGET,Energy Storage System,a0l8e000001HoFx,PRO-004063
Drax,ENSO GREEN HOLDINGS D LIMITED,Drax 400kV Substation,,0,190,190,2025-06-30,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005ixO,PRO-001355
Drax (Biomass),DRAX POWER LIMITED,Drax 400kV Substation,,1905,0,1905,,Built,Directly Connected,NGET,Biomass,a0l4L0000005ixU,PRO-000129
Drax (Coal),DRAX POWER LIMITED,Drax 400kV Substation,,2001,0,2001,,Built,Directly Connected,NGET,Coal,a0l4L0000005ixV,PRO-000130
Drax Solar,East Yorkshire Solar Farm Limited,Drax 400kV Substation,,0,400,400,2029-09-30,Scoping,Embedded,NGET,PV Array (Photo Voltaic/solar),a0l4L0000005iUE,PRO-001759
Drongan Battery Storage,Drongan Battery Storage Ltd,Coylton 132/33kV Substation,,0,100,100,2026-10-20,Scoping,Directly Connected,SPT,Demand; Energy Storage System,a0l4L0000005ika,PRO-002287
Druim Leathann BEGA,DRUIM LEATHANN WINDFARM LIMITED,Stornoway GSP,,0,49.7,49.7,2027-03-31,Scoping,Embedded,SHET,Wind Onshore,a0l4L0000005iSX,PRO-000966
Drumfad Battery Storage System,EKU ENERGY FAUNE PROJECTS (UK) LIMITED,Helensburgh 33kV Substation,,0,39.9,39.9,2027-10-31,Scoping,Embedded,SPT,Energy Storage System,a0l4L0000005iUg,PRO-002419
Drum Farm Energy Storage Facility,Renewable Energy Systems Limited,Keith GSP,,0,49.9,49.9,2028-10-31,Scoping,Embedded,SHET,Energy Storage System,a0l4L0000005iUA,PRO-001726
Drumlithie Battery Storage,DRUMLITHIE BATTERY LIMITED,Fetteresso GSP,,0,49.9,49.9,2028-10-31,Scoping,Embedded,SHET,Energy Storage System,a0l4L0000005iUU,PRO-002299
Drummarnock Wind Farm,Drummarnock Wind Farm Limited,Bonnybridge GSP,,0,30,30,2026-10-01,Scoping,Embedded,SPT,Wind Onshore,a0l4L0000005iWa,PRO-001912
Drum of Clunas Wind and Solar Park,BROADHAVEN DISTRIBUTION LTD,Drum of Clunas 275kV,,0,150,150,2031-10-31,Scoping,Directly Connected,SHET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000000f6J0,PRO-003970
Drumore Farm,HYDROCK CONSULTANTS LIMITED,Alness 132/33kV Substation,,0,49.9,49.9,2030-10-31,Scoping,Embedded,SHET,Energy Storage System,a0l4L0000005iWt,PRO-002397
Dudgeon Offshore Wind Farm,DUDGEON OFFSHORE WIND LIMITED,Necton 400kV Substation,,400,0,400,,Built,Directly Connected,NGET,Wind Offshore,a0l4L0000005ioF,PRO-000132
Dunach Wind Farm,Galileo Empower UK Limited,Taynuilt GSP,,0,100.8,100.8,2034-10-31,Scoping,Directly Connected,SHET,Wind Onshore,a0l8e0000010wf7,PRO-002754
Dunclent Battery Storage,Firma Vogt Solar Ltd,Dunclent 400kV,,0,400,400,2030-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e0000010wlt,PRO-002827
Dungeness B,EDF ENERGY NUCLEAR GENERATION LIMITED,Dungeness 275kV Substation,,1120,0,1120,,Built,Directly Connected,NGET,Nuclear,a0l4L0000005ioG,PRO-000133
Dungeness Energy Park,LOW CARBON SOLAR PARK 14 LIMITED,Newchurch 400kV Substation,,0,500,500,2031-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iZR,PRO-001986
Dunlaw Extension,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Dunlaw Extension 132kV Substation,,29.75,0,29.75,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005imY,PRO-000061
Dunmaglass Wind Farm,DUNMAGLASS WIND FARM LIMITED,Dunmaglass 132kV Substation,,94,0,94,,Built,Directly Connected,SHET,Wind Onshore,a0l4L0000005imk,PRO-000076
Dunstable,Connectid 9 Limited,Dunstable 400kV Substation,,0,600,600,2032-10-31,Scoping,Directly Connected,NGET,Demand; Energy Storage System; PV Array (Photo Voltaic/solar); Reactive Compensation,a0l8e000000TPRe,PRO-003418
Dunstable,Connectid 9 Limited,Earba PSH Powerhouse Substation,1,0,600,600,2029-10-31,Scoping,Directly Connected,SHET,Pump Storage,a0l8e000000f8OK,PRO-004030-1
Dunstable,Connectid 9 Limited,Earba PSH Powerhouse Substation,2,0,900,1500,2035-10-31,Scoping,Directly Connected,SHET,Pump Storage,a0l8e000000f8OK,PRO-004030-2
Earl Shilton BESS,Exagen Development Limited,Earl Shilton 275kV,,0,500,500,2029-10-26,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iYV,PRO-001950
Earraghail Renewable Energy Development (formerly Skipness & Corranbuie),SCOTTISHPOWER RENEWABLES (UK) LIMITED,Earraghail 275/33KV Substation,,0,105,105,2029-05-30,Scoping,Directly Connected,SHET,Wind Onshore,a0l4L0000005ieP,PRO-001139
East Anglia One,EAST ANGLIA ONE LIMITED,Platform EA One 220/66kV Offshore Substation,,680,0,680,,Built,Directly Connected,NGET,Wind Offshore,a0l4L0000005irM,PRO-000268
