,_id,Project Name,Customer Name,Connection Site,Stage,MW Connected,MW Increase / Decrease,Cumulative Total Capacity (MW),MW Effective From,Project Status,Agreement Type,HOST TO,Plant Type,Project ID
289,288,Dogger Bank Project 4 (Dogger Bank B),DOGGERBANK OFFSHORE WIND FARM PROJECT 2 PROJCO LIMITED,Dogger Bank 220kV Offshores,,0,1200,1200,01/04/2024,Under Construction/Commissioning,Directly Connected,NGET,Wind Offshore,a0l4L0000005imQ
290,289,Dogger Bank Project A,DOGGERBANK OFFSHORE WIND FARM PROJECT 1 PROJCO LIMITED,Dogger Bank 220kV Offshores,,0,1200,1200,01/04/2023,Under Construction/Commissioning,Directly Connected,NGET,Wind Offshore,a0l4L0000005imP
291,290,Dogger Bank Project C,DOGGERBANK OFFSHORE WIND FARM PROJECT 3 PROJCO LIMITED,Lackenby GSP,,0,1200,1200,01/04/2025,Consents Approved,Directly Connected,NGET,Wind Offshore,a0l4L0000005imR
292,291,Dog Trap Lane,HD381GRE Limited,Minety 400kV Substation,,0,47.5,47.5,31/03/2025,Awaiting Consents,Directly Connected,NGET,Energy Storage System,a0l4L0000005ixx
293,293,Dolyfardyn,Llyn Lort Energy Park Limited,Chirk GSP,,0,165,165,04/02/2027,Scoping,Embedded,NGET,Wind Onshore,a0l4L0000005iUL
294,294,Dorenell Windfarm,DORENELL WINDFARM LIMITED,Dorenell 132/33kV Substation,,177,0,177,,Built,Directly Connected,SHET,Wind Onshore,a0l4L0000005ipK
295,295,Dorenell Windfarm Extension,Dorenell Windfarm Extension Limited,Blackhillock 400kV Substation,,0,610,610,31/10/2033,Scoping,Directly Connected,SHET,Wind Onshore,a0l4L0000005iuP
296,296,Douglas West,DOUGLAS WEST WIND FARM LTD,Coalburn 132/33kV Substation,,45,0,45,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005inr
297,297,Douglas West Extension,DOUGLAS WEST EXTENSION LTD,Douglas West Extension Windfarm,,0,60,60,31/07/2024,Consents Approved,Directly Connected,SPT,Wind Onshore,a0l4L0000005ixI
298,298,Dowlais,VIRIDIS 178 LIMITED,Upperboat 132kV Substation,,21,0,21,,Built,Embedded,NGET,Thermal,a0l4L0000005iSy
299,299,Drakelow,ENSO GREEN HOLDINGS LIMITED,Drakelow 400kV Substation,,0,57,57,31/10/2024,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iwy
300,300,Drakelow BESS,HARMONY ENERGY LIMITED,Drakelow 132kV,,0,200,200,30/10/2029,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005ib8
301,301,Drakelow Green Energy Centre,DRAKELOW GREEN ENERGY LIMITED,Drakelow 400kV Substation,,0,400,400,30/10/2026,Awaiting Consents,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ieq
302,302,Drax,ENSO GREEN HOLDINGS D LIMITED,Drax 400kV Substation,1,0,49.9,49.9,30/06/2025,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005ixO
303,303,Drax,ENSO GREEN HOLDINGS D LIMITED,Drax 400kV Substation,2,0,49.9,99.8,30/06/2026,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005ixO
304,304,Drax,ENSO GREEN HOLDINGS D LIMITED,Drax 400kV Substation,3,0,20.2,120,30/12/2026,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005ixO
305,305,Drax (Biomass),DRAX POWER LIMITED,Drax 400kV Substation,,1905,0,1905,,Built,Directly Connected,NGET,Biomass,a0l4L0000005ixU
306,306,Drax (Coal),DRAX POWER LIMITED,Drax 400kV Substation,,2001,0,2001,,Built,Directly Connected,NGET,Coal,a0l4L0000005ixV
307,307,Drax Solar,BOOM DEVELOPMENTS LTD,Drax 400kV Substation,,0,400,400,30/09/2029,Scoping,Embedded,NGET,PV Array (Photo Voltaic/solar),a0l4L0000005iUE
308,308,Drongan Battery Storage,Drongan Battery Storage Ltd,Coylton 132/33kV Substation,,0,100,100,20/10/2026,Scoping,Directly Connected,SPT,Demand; Energy Storage System,a0l4L0000005ika
309,309,Druim Leathann BEGA,DRUIM LEATHANN WINDFARM LIMITED,Stornoway GSP,,0,49.7,49.7,31/03/2027,Scoping,Embedded,SHET,Wind Onshore,a0l4L0000005iSX
310,310,Drumfad Battery Storage System,CAPBAL FAUNE LIMITED,Helensburgh 33kV Substation,,0,39.9,39.9,31/10/2027,Scoping,Embedded,SPT,Energy Storage System,a0l4L0000005iUg
311,311,Drum Farm Energy Storage Facility,RENEWABLE ENERGY SYSTEMS LIMITED,Keith GSP,,0,49.9,49.9,31/10/2028,Scoping,Embedded,SHET,Energy Storage System,a0l4L0000005iUA
312,312,Drumlithie Battery Storage,DRUMLITHIE BATTERY LIMITED,Fetteresso GSP,,0,49.9,49.9,31/10/2028,Scoping,Embedded,SHET,Energy Storage System,a0l4L0000005iUU
313,313,Drummarnock Wind Farm,Drummarnock Wind Farm Limited,Bonnybridge GSP,,0,30,30,01/10/2024,Scoping,Embedded,SPT,Wind Onshore,a0l4L0000005iWa
314,314,Dudgeon Offshore Wind Farm,DUDGEON OFFSHORE WIND LIMITED,Necton 400kV Substation,,400,0,400,,Built,Directly Connected,NGET,Wind Offshore,a0l4L0000005ioF
315,315,Dungeness B,EDF ENERGY NUCLEAR GENERATION LIMITED,Dungeness 275kV Substation,,1120,0,1120,,Built,Directly Connected,NGET,Nuclear,a0l4L0000005ioG
316,316,Dungeness Energy Park,LOW CARBON SOLAR PARK 14 LIMITED,Dungeness 400kV Substation,,0,500,500,01/04/2029,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iZR
317,317,Dunlaw Extension,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Dunlaw Extension 132kV Substation,,29.75,0,29.75,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005imY
318,318,Dunmaglass Wind Farm,DUNMAGLASS WIND FARM LIMITED,Dunmaglass 132kV Substation,,94,0,94,,Built,Directly Connected,SHET,Wind Onshore,a0l4L0000005imk
319,319,Earba PSH,GILKES ENERGY LIMITED,Earba PSH Powerhouse Substation,,0,600,600,31/10/2029,Scoping,Directly Connected,SHET,Pump Storage,a0l4L0000005iu7
320,320,Earl Shilton BESS,Exagen Development Limited,Earl Shilton 275kV,,0,500,500,26/10/2029,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iYV
321,321,Earraghail Renewable Energy Development (formerly Skipness & Corranbuie),SCOTTISHPOWER RENEWABLES (UK) LIMITED,,,0,105,105,31/10/2026,Scoping,Directly Connected,SHET,Wind Onshore,a0l4L0000005ieP
322,322,East Anglia One,EAST ANGLIA ONE LIMITED,Platform EA One 220/66kV Offshore Substation,,680,0,680,,Built,Directly Connected,NGET,Wind Offshore,a0l4L0000005irM
323,323,East Anglia One North,EAST ANGLIA ONE LIMITED,EA1N 275/66kV Offshore Platform,,0,860,860,31/03/2026,Awaiting Consents,Directly Connected,OFTO,Wind Offshore,a0l4L0000005irN
324,324,East Anglia Three,EAST ANGLIA THREE LIMITED,East Anglia Project Three Offshore Platform,1,0,1200,1200,31/01/2026,Consents Approved,Directly Connected,NGET,Wind Offshore,a0l4L0000005irO
325,325,East Anglia Three,EAST ANGLIA THREE LIMITED,East Anglia Project Three Offshore Platform,2,0,100,1300,31/12/2028,Consents Approved,Directly Connected,NGET,Wind Offshore,a0l4L0000005irO
326,326,East Anglia Two,EAST ANGLIA TWO LIMITED,EA2A and EA2B 275/66kV Offshore Platform,,0,860,860,31/12/2025,Awaiting Consents,Directly Connected,NGET,Wind Offshore,a0l4L0000005ioH
327,327,East Claydon,CUSTODIAN ENERGY LIMITED,East Claydon 400V Substation,,0,500,500,30/11/2025,Awaiting Consents,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iwI
328,328,East Claydon Green Energy Centre,INNOVA RENEWABLES LIMITED,East Claydon 400V Substation,,0,1025,1025,01/10/2034,Awaiting Consents,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ivL
329,329,East Claydon Solar PV,STATERA ENERGY LIMITED,East Claydon 400V Substation,,0,500,500,01/10/2026,Scoping,Directly Connected,NGET,PV Array (Photo Voltaic/solar),a0l4L0000005ivt
330,330,Eaton Socon Solar,RNA-ENERGY LTD,Eaton Socon 400kV,,0,500,500,31/10/2028,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ifs
331,331,Eccles BESS,WEAVER POWER LIMITED,Eccles 400kV Substation,,0,200,200,31/08/2026,Scoping,Directly Connected,SPT,Reactive Compensation,a0l4L0000005idE
332,332,EcoLovedean,Econergy International Limited,Lovedean 400kV Substation,,0,249,249,31/03/2031,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iu2
333,333,EcoUskmouth,Econergy International Limited,Uskmouth 275kV Substation,,0,249,249,14/06/2029,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005ic0
334,334,EcoYaxley1,Econergy International Limited,Yaxley 400kV Substation,,0,249,249,30/12/2030,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ic1
335,335,Edinbane Windfarm,VATTENFALL WIND POWER LTD,Edinbane GSP,1,41.4,0,41.4,,Built,Directly Connected,SHET,Energy Storage System; Wind Onshore,a0l4L0000005ioI
336,336,Edinbane Windfarm,VATTENFALL WIND POWER LTD,Edinbane GSP,2,0,48.6,90,01/01/2030,Scoping,Directly Connected,SHET,Energy Storage System; Wind Onshore,a0l4L0000005ioI
337,337,Eggborough,EGGBOROUGH POWER LIMITED,Eggborough 400kV Substation,,0,2450,2450,01/10/2026,Awaiting Consents,Directly Connected,NGET,CCGT (Combined Cycle Gas Turbine); Energy Storage System; OCGT (Open Cycle Gas Turbine),a0l4L0000005ikt
338,338,Eggborough,SSE UTILITY SOLUTIONS LIMITED,Eggborough 400kV Substation,,0,550,550,16/06/2032,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ibx
339,339,Eggborough (Coal),EGGBOROUGH POWER LIMITED,Eggborough 400kV Substation,,0,0,0,,Built,Directly Connected,NGET,Coal,a0l4L0000005ipI
340,340,Elchies Wind Farm,ELCHIES WIND LIMITED,Elchies 132/33kV Substation,,0,99,99,30/06/2027,Scoping,Directly Connected,SHET,Wind Onshore,a0l4L0000005ixh
341,341,Elizabeth Yellow One,BP ALTERNATIVE ENERGY INVESTMENTS LIMITED,Wylfa 400kV Substation,,0,1500,1500,01/04/2033,Scoping,Directly Connected,NGET,Wind Offshore,a0l4L0000005ik5
342,342,Elmya Grange Road,ELMYA ENERGY UK 3 LIMITED,,,0,300,300,30/10/2031,Awaiting Consents,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005il8
343,343,Elmya Hunterston,ELMYA ENERGY UK 2 LIMITED,,,0,400,400,09/10/2029,Scoping,Directly Connected,,,a0l8e000000TPBV
344,344,Elmya Melbourne BESS,ELMYA ENERGY UK 5 LIMITED,Thornton 400kV Substation,,0,300,300,28/10/2033,Awaiting Consents,Directly Connected,NGET,Energy Storage System,a0l4L0000005iyl
345,345,Elstree (tertiary),ELSTREE GREEN LIMITED,Elstree 275kV Substation,1,0,49.9,49.9,31/10/2025,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iMT
346,346,Elstree (tertiary),ELSTREE GREEN LIMITED,Elstree 275kV Substation,2,0,7.1,57,31/10/2027,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iMT
347,347,Elstree 2 (Tertiary),CSE20 LIMITED,Elstree 400kV Substation,,0,49.5,49.5,01/07/2024,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005ixd
348,348,Elstree 400MW BESS,Hilfield Energy Limited,Elstree 400kV Substation,,0,400,400,31/10/2029,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005itW
349,349,Elstree Energy Storage,Penso Power Limited,Elstree 132kV Substation,,0,170,170,01/10/2029,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e000000TPDl
350,350,Elvanfoot (9.8 MW) Energy Storage,ELVANFOOT ENERGY STORAGE LIMITED,Elvanfoot 132kV/33kV Substation,,0,9.8,9.8,06/12/2024,Scoping,Directly Connected,SPT,Energy Storage System,a0l4L0000005igK
351,351,Enderby,ENDERBY BATTERY STORAGE LIMITED,Enderby 400kV Substation,,0,57,57,31/08/2023,Consents Approved,Directly Connected,NGET,Energy Storage System,a0l4L0000005ilw
352,352,Enderby Tertiary,CLUMP FARM SOLAR LIMITED,,,0,57,57,01/05/2024,Scoping,Directly Connected,NGET,Thermal,a0l4L0000005izz
353,353,Energy Isles,ENERGY ISLES SHETLAND LIMITED,Energy Isles 132kV Substation,,0,120.3,120.3,01/04/2027,Awaiting Consents,Directly Connected,SHET,Wind Onshore,a0l4L0000005imt
354,354,Enfield,UNIPER UK LIMITED,Brimsdown 132kV Substation,,442,0,442,,Built,Directly Connected,NGET,CCGT (Combined Cycle Gas Turbine),a0l4L0000005ioS
355,355,Enoch Hill,RWE RENEWABLES UK ONSHORE WIND LIMITED,Enoch Hill 132/33kV Substation,,0,69,69,30/05/2023,Scoping,Directly Connected,SPT,Wind Onshore,a0l4L0000005iom
356,356,EOLFI Offshore,EOLFI SAS,Eolfi Offshore Substation,,0,3000,3000,31/10/2033,Scoping,Directly Connected,SHET,Wind Offshore,a0l4L0000005ihF
357,357,Eppynt Common,GARREG FAWR ENERGY PARK LIMITED,Pont Abraham GSP,,0,189.5,189.5,31/10/2026,Scoping,Embedded,NGET,Wind Onshore,a0l4L0000005iQQ
358,358,Erebus,BLUE GEM WIND LIMITED,Pembroke 132kV Substation,,0,91,91,02/11/2026,Scoping,Directly Connected,NGET,Wind Offshore,a0l4L0000005inx
359,359,Errochty,SSE GENERATION LIMITED,Errochty 132kV Substation,,75,0,75,,Built,Directly Connected,SHET,Hydro,a0l4L0000005ihI
360,360,Essendine,MALLARD PASS SOLAR FARM LIMITED,Ryhall (Network Rail) GSP,,0,240,240,01/01/2028,Scoping,Directly Connected,NGET,PV Array (Photo Voltaic/solar),a0l4L0000005iNf
361,361,Euchanhead Wind Farm,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Euchanhead 132kV Substation,,0,112,112,29/10/2027,Scoping,Directly Connected,SPT,Wind Onshore,a0l4L0000005ibQ
362,362,Ewe Hill,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Ewe Hill GSP,,39,0,39,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005iZA
363,363,Ewerby,SSE UTILITY SOLUTIONS LIMITED,Navenby 400kV Substation,,0,500,500,30/10/2029,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iaD
364,364,Exeter (Tertiary),PIVOTED POWER LLP,Exeter 400kV Substation,,0,49.9,49.9,01/11/2025,Awaiting Consents,Directly Connected,NGET,Energy Storage System,a0l4L0000005iz7
365,365,Exeter BESS and PV (Post-Interactivity Revised Offer),IGP SOLAR 20 LIMITED,Exeter 400kV Substation,,0,249,249,31/12/2029,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iNp
366,366,Exeter Main Tertiary,EXETER MAIN BATTERY LIMITED,Exeter 400kV Substation,,0,57,57,01/05/2024,Scoping,Directly Connected,NGET,Thermal,a0l4L0000005izU
367,367,Exeter Solar PV & BESS,Exeter Storage Limited,Exeter 400kV Substation,,0,290,290,31/08/2027,Awaiting Consents,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ivy
368,368,Fairholme BESS,HB222BRI LTD,Minety 400kV Substation,,0,47.5,47.5,28/02/2025,Consents Approved,Directly Connected,NGET,Energy Storage System,a0l4L0000005ixg
369,369,Fallago Rig 2,EDF ENERGY RENEWABLES LIMITED,Fallago 400kV Substation,,0,41.4,41.4,31/10/2023,Awaiting Consents,Directly Connected,SPT,Wind Onshore,a0l4L0000005ipG
370,370,Fallago Rig Wind Farm,FALLAGO RIG WINDFARM LIMITED,Fallago 400kV Substation,,144,0,144,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005ioo
371,371,Fancott,SSE UTILITY SOLUTIONS LIMITED,Sundon 400kV Substation,,0,600,600,30/10/2031,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iu4
372,372,Farnham BESS,Harmony FM Limited,Wrecclesham 33kV,,0,20,20,01/03/2023,Under Construction/Commissioning,Embedded,NGET,Energy Storage System,a0l4L0000005iSK
373,373,Farr Wind Farm - Tomatin,FARR WINDFARM LIMITED,Beauly GSP,,92,0,92,,Built,Directly Connected,SHET,Wind Onshore,a0l4L0000005iop
374,374,Fasnakyle G1 & G2,SSE GENERATION LIMITED,Fasnakyle GSP,,46,0,46,,Built,Directly Connected,SHET,Hydro,a0l4L0000005iml
375,375,Fasnakyle G3 & G4,SSE GENERATION LIMITED,Fasnakyle GSP,,30.5,0,30.5,,Built,Embedded,SHET,Hydro,a0l4L0000005iV8
376,376,Fasque Windfarm,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Fasque Wind Farm 132kV Substation,,0,90,90,31/10/2028,Scoping,Directly Connected,SHET,Wind Onshore,a0l4L0000005ibS
377,377,Fawley CHP,ESSO PETROLEUM COMPANY LIMITED,Fawley 400kV Substation,,158,0,158,,Built,Embedded,NGET,CHP (Combined Heat and Power),a0l4L0000005iVU
378,378,Faw Side Community Wind Farm,COMMUNITY WINDPOWER LIMITED,Faw Side Community Wind Farm Substation,,0,250,250,31/10/2025,Awaiting Consents,Directly Connected,SPT,Wind Onshore,a0l4L0000005isG
379,379,Feckenham,IGP SOLAR 14 LIMITED,Feckenham 400kV Substation,,0,500,500,21/07/2029,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iOw
380,380,Feckenham,STATKRAFT UK LTD,Feckenham 400kV Substation,1,0,12,12,27/10/2023,Scoping,Directly Connected,NGET,Energy Storage System; Reactive Compensation,a0l4L0000005ibT
381,381,Feckenham,STATKRAFT UK LTD,Feckenham 400kV Substation,2,0,138,150,31/10/2032,Scoping,Directly Connected,NGET,Energy Storage System; Reactive Compensation,a0l4L0000005ibT
382,382,Feckenham Green Energy Centre,INNOVA RENEWABLES LIMITED,Feckenham 400kV Substation,,0,1025,1025,30/10/2032,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iit
383,383,Fell Wind Farm,ENERGYFARM UK FELL LLP,Fell Wind Farm 132/33kV Substation,,0,50,50,30/10/2028,Scoping,Directly Connected,SPT,Wind Onshore,a0l4L0000005izP
384,384,Fenwick Solar Project,Fenwick Solar Project Limited,Thorpe Marsh A 400kV Substation,,0,237.5,237.5,16/04/2032,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ix1
385,385,Ferrybridge D,KEADBY GENERATION LIMITED,Ferrybridge C 275kV Substation,,0,1820,1820,01/09/2026,Scoping,Directly Connected,NGET,CCGT (Combined Cycle Gas Turbine),a0l4L0000005iac
386,386,Fferm Solar Pentir,LIGHTSOURCE SPV 191 LIMITED,Pentir GSP,,0,57,57,01/05/2024,Scoping,Directly Connected,NGET,PV Array (Photo Voltaic/solar),a0l4L0000005ixK
387,387,Ffestiniog,FIRST HYDRO COMPANY,Ffestiniog 275kV Substation,,360,0,360,,Built,Directly Connected,NGET,Pump Storage,a0l4L0000005im9
388,388,Fife 2 BESS,CARLTON POWER LIMITED,Westfield GSP,,0,49.9,49.9,14/06/2028,Scoping,Directly Connected,SPT,Energy Storage System,a0l4L0000005iw1
389,389,Fife Battery Storage,CARLTON POWER LIMITED,Westfield GSP,,0,200,200,30/10/2031,Scoping,Directly Connected,SPT,Energy Storage System,a0l4L0000005iQV
390,390,Fife Energy Centre,CAMBRIDGE POWER LIMITED,,,0,100,100,28/04/2028,Scoping,Directly Connected,SPT,Energy Storage System,a0l4L0000005iPY
391,391,Fife Grid Services,BLUEGRIDPOWER LTD,Fife Grid Services Facility 275kV Substation,,0,0,0,12/04/2024,Scoping,Directly Connected,SPT,Reactive Compensation,a0l4L0000005inR
392,392,Finlarig,SSE GENERATION LIMITED,Finlarig GSP,,16.5,0,16.5,,Built,Directly Connected,SHET,Hydro,a0l4L0000005imm
393,393,Firth of Forth Offshore Wind Farm 2A,Berwick Bank B Limited,Branxton 400kV Substation,1,0,700,700,27/11/2026,Scoping,Directly Connected,SPT,Wind Offshore,a0l4L0000005ipD
394,394,Firth of Forth Offshore Wind Farm 2A,Berwick Bank B Limited,Branxton 400kV Substation,2,0,450,1150,26/11/2027,Scoping,Directly Connected,SPT,Wind Offshore,a0l4L0000005ipD
395,395,Firth of Forth Offshore Wind Farm 2B,Berwick Bank B Limited,Branxton 400kV Substation,1,0,700,700,27/11/2026,Scoping,Directly Connected,SPT,Wind Offshore,a0l4L0000005ipE
396,396,Firth of Forth Offshore Wind Farm 2B,Berwick Bank B Limited,Branxton 400kV Substation,2,0,450,1150,26/11/2027,Scoping,Directly Connected,SPT,Wind Offshore,a0l4L0000005ipE
397,397,Five Estuaries Offshore Wind Farm,FIVE ESTUARIES OFFSHORE WIND FARM LIMITED,Five Estuaries 220/66 kV Offshore Substation,,0,1080,1080,31/10/2030,Scoping,Directly Connected,NGET,Wind Offshore,a0l4L0000005izv
398,398,Flash Solar Farm,ECAP Renewables Staythorpe Ltd,Staythorpe 400kV Substation,1,0,400,400,31/10/2027,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iNY
399,399,Flash Solar Farm,ECAP Renewables Staythorpe Ltd,Staythorpe 400kV Substation,2,0,400,800,01/07/2028,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iNY
400,400,Fleet (Tertiary),CSE23 LIMITED,Fleet 400kV Substation,,0,47.5,47.5,31/10/2025,Scoping,Directly Connected,NGET,PV Array (Photo Voltaic/solar),a0l4L0000005izA
401,401,Fleet EGH (Tertiary),ENSO GREEN HOLDINGS LIMITED,Fleet GSP,1,0,49.9,49.9,31/10/2025,Awaiting Consents,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ipw
402,402,Fleet EGH (Tertiary),ENSO GREEN HOLDINGS LIMITED,Fleet GSP,2,0,7.1,57,31/10/2026,Awaiting Consents,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ipw
403,403,Fleet Tertiary,FLEET SOLAR LIMITED,Fleet 400kV Substation,,0,47.5,47.5,30/11/2025,Scoping,Directly Connected,NGET,Thermal,a0l4L0000005j00
404,404,Flemyland Battery Storage,Flemyland Battery Storage Ltd,Kilwinning 132kV Substation,,0,100,100,26/10/2027,Scoping,Directly Connected,SPT,Demand; Energy Storage System,a0l4L0000005iyI
405,405,Fort Dunlop,WHITETOWER ENERGY LIMITED,Dunlop 132kV Substation,,99,0,99,,Built,Embedded,NGET,OCGT (Open Cycle Gas Turbine),a0l4L0000005iVV
406,406,Foyers,SSE GENERATION LIMITED,Foyers 275kV Substation,,300,0,300,,Built,Directly Connected,SHET,Pump Storage,a0l4L0000005imn
407,407,Freasdail,FREASDAIL ENERGY LIMITED,Crossaig 132kV Substation,,22.2,0,22.2,,Built,Directly Connected,SHET,Wind Onshore,a0l4L0000005im3
408,408,Frodsham Solar Park,PEEL NRE DEVELOPMENTS LIMITED,Frodsham 275kV Substation,,0,100,100,30/12/2026,Scoping,Embedded,NGET,PV Array (Photo Voltaic/solar),a0l4L0000005iSr
409,409,Fron Goch,NANT MITHIL ENERGY PARK LIMITED,Pont Abraham GSP,,0,252.7,252.7,31/10/2026,Scoping,Embedded,NGET,Wind Onshore,a0l4L0000005iie
410,410,Gaerwen Wind Farm,RWE RENEWABLES UK ONSHORE WIND LIMITED,Gwyddelwern 400kV Substation,,0,67,67,01/06/2027,Awaiting Consents,Directly Connected,NGET,Wind Onshore,a0l4L0000005ihP
411,411,Galawhistle Wind Farm,GALAWHISTLE WIND FARM LIMITED,Galawhistle 132/33kV Substation,,55.2,0,55.2,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005ios
412,412,Galloper Wind Farm,GALLOPER WIND FARM LIMITED,Galloper North 132/33kV Substation,,348,0,348,,Built,Directly Connected,NGET,Wind Offshore,a0l4L0000005iot
413,413,Gammidge PV & BESS Park,CS UK HOLDINGS III LIMITED,Grendon 132kV Substation,,0,40.9,40.9,31/10/2024,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iOt
414,414,Garn Fach Wind Farm,EDF ENERGY RENEWABLES LIMITED,,,0,110,110,01/05/2032,Scoping,Directly Connected,NGET,Wind Onshore,a0l4L0000005iv1
415,415,Garvary Wind Farm,Garvary Wind Farm Ltd,,,0,222,222,30/06/2028,Scoping,Directly Connected,SHET,Wind Onshore,a0l4L0000005iyq
416,416,Gateway Energy Centre Power Station,GATEWAY ENERGY CENTRE LIMITED,Coryton South 400kV Substation,1,0,450,450,30/09/2025,Consents Approved,Directly Connected,NGET,CCGT (Combined Cycle Gas Turbine); Energy Storage System; OCGT (Open Cycle Gas Turbine),a0l4L0000005im2
417,417,Gateway Energy Centre Power Station,GATEWAY ENERGY CENTRE LIMITED,Coryton South 400kV Substation,2,0,550,1000,30/10/2029,Consents Approved,Directly Connected,NGET,CCGT (Combined Cycle Gas Turbine); Energy Storage System; OCGT (Open Cycle Gas Turbine),a0l4L0000005im2
418,418,Gatroben Offshore Wind Farm,GATROBEN OFFSHORE DEVELOPMENTS 2 LIMITED,Gatroben Offshore Substation,,0,1320,1320,31/10/2031,Scoping,Directly Connected,NGET,Wind Offshore,a0l4L0000005idW
419,419,Glanford,EPR GLANFORD LIMITED,Keadby GSP,,15,0,15,,Built,Embedded,NGET,Biomass,a0l4L0000005iVW
420,420,Gleann Eoghainn,RENANTIS UK LIMITED,Dunvegan GSP,,0,25,25,31/10/2027,Scoping,Embedded,SHET,Wind Onshore,a0l4L0000005iQ5
421,421,Glen App Windfarm,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Glen App and Loch Ree 132/33kV Substation,,32.2,0,32.2,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005ima
422,422,Glencassley Wind Farm,SSE RENEWABLES SERVICES (UK) LIMITED,Shin GSP,,0,65,65,31/10/2026,Awaiting Consents,Embedded,SHET,Wind Onshore,a0l4L0000005iVe
423,423,Glenchamber Wind Farm,GLENCHAMBER WIND ENERGY LIMITED,Glenluce GSP,,27.5,0,27.5,,Built,Embedded,SPT,Wind Onshore,a0l4L0000005iV2
424,424,Glendoe,SSE GENERATION LIMITED,Fort Augustus GSP,,99.9,0,99.9,,Built,Directly Connected,SHET,Hydro,a0l4L0000005imo
425,425,Glendye Wind Farm,GLENDYE WIND FARM LIMITED,,,0,156,156,31/10/2028,Scoping,Directly Connected,SHET,Wind Onshore,a0l4L0000005iyy
426,426,Glen Kyllachy Wind Farm,GLEN KYLLACHY WIND FARM LIMITED,Glen Kyllachy Wind Farm Substation,,48.5,0,48.5,,Built,Directly Connected,SHET,Wind Onshore,a0l4L0000005iov
427,427,Glenmoriston (part of the Moriston Cascade),SSE GENERATION LIMITED,Glenmoriston GSP,,40,0,40,,Built,Directly Connected,SHET,Hydro,a0l4L0000005imq
